"id","active","code","createdBy","createdDateTime","identifier","lookup_field_Org","lookup_field_parti","modifiedBy","modifiedDateTime","organization","participatingOrganization","periodStart","resourceType"
"3022442797650156","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:36","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""320367""},""use"":{""S"":""secondary""}}","FMQ93","P29K","Admin","21-03-2024 10:49:36","2363481743050551","2480705285326361","2004-04-01","OrganizationAffiliation"
"3090872534085016","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:49:50","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""655707""},""use"":{""S"":""secondary""}}","FRM31","QT6","Admin","21-03-2024 10:49:50","1519523973892420","3161777084860195","2020-04-01","OrganizationAffiliation"
"2889203157225478","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:50","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""655707""},""use"":{""S"":""secondary""}}","FRM31","QT6","Admin","21-03-2024 10:48:50","1519523973892420","3161777084860195","2020-04-01","OrganizationAffiliation"
"1137797954493351","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:50:04","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""308649""},""use"":{""S"":""secondary""}}","FEL62","P05F","Admin","21-03-2024 10:50:04","2831654098248629","1277746025276368","2004-12-01","OrganizationAffiliation"
"2054563854168038","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:48:56","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""322263""},""use"":{""S"":""secondary""}}","FP239","P05F","Admin","21-03-2024 10:48:56","2102816485727559","1277746025276368","2007-03-12","OrganizationAffiliation"
"4758047348745278","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:50:01","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""647857""},""use"":{""S"":""secondary""}}","FCF21","QJK","Admin","21-03-2024 10:50:01","2947398485788566","3037648242472551","2020-04-01","OrganizationAffiliation"
"1980258254961451","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:49:47","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""649486""},""use"":{""S"":""secondary""}}","FF364","QJK","Admin","21-03-2024 10:49:47","2826207576360737","3037648242472551","2020-04-01","OrganizationAffiliation"
"9843772235506467","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE4""},""display"":{""S"":""IS COMMISSIONED BY""}}}]}}}]","Admin","21-03-2024 10:48:56","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""654195""},""use"":{""S"":""secondary""}}","FP239","QT6","Admin","21-03-2024 10:48:56","2102816485727559","3161777084860195","2020-04-01","OrganizationAffiliation"
"5758023563584542","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:04","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""308649""},""use"":{""S"":""secondary""}}","FEL62","P05F","Admin","21-03-2024 10:49:04","2831654098248629","1277746025276368","2004-12-01","OrganizationAffiliation"
"5489435987901414","true","[{""M"":{""coding"":{""L"":[{""M"":{""system"":{""S"":""https://ods-prototype/relationship""},""code"":{""S"":""RE6""},""display"":{""S"":""IS OPERATED BY""}}}]}}}]","Admin","21-03-2024 10:49:15","{""type"":{""S"":""ODS Org. Affiliation id""},""value"":{""S"":""329536""},""use"":{""S"":""secondary""}}","FVK05","P05F","Admin","21-03-2024 10:49:15","3827090766212301","1277746025276368","2007-03-12","OrganizationAffiliation"
